CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
1,49,Male,4,88.35,Month-to-Month,Fiber Optic,353.4,Yes,Yes
2,43,Male,0,36.67,Month-to-Month,Fiber Optic,0,Yes,Yes
3,51,Female,2,63.79,Month-to-Month,Fiber Optic,127.58,No,Yes
4,60,Female,8,102.34,One-Year,DSL,818.72,Yes,Yes
5,42,Male,32,69.01,Month-to-Month,None,2208.32,No,Yes
6,42,Female,16,119.75,Two-Year,DSL,1916,Yes,Yes
7,60,Male,14,80.32,One-Year,None,1124.48,No,Yes
8,52,Female,6,58.9,One-Year,None,353.4,No,Yes
9,40,Female,53,49.81,Two-Year,Fiber Optic,2639.93,Yes,No
10,50,Female,10,61.55,Month-to-Month,Fiber Optic,615.5,Yes,Yes
11,40,Female,1,63.53,Month-to-Month,Fiber Optic,63.53,Yes,Yes
12,40,Female,19,36.18,One-Year,Fiber Optic,687.42,Yes,No
13,47,Male,2,63.26,Two-Year,None,126.52,No,Yes
14,25,Female,8,71.78,One-Year,None,574.24,No,Yes
15,27,Male,14,95.05,Month-to-Month,Fiber Optic,1330.7,Yes,Yes
16,39,Female,41,89.11,Two-Year,Fiber Optic,3653.51,Yes,No
17,34,Female,13,93.79,Month-to-Month,None,1219.27,No,Yes
18,48,Female,24,30.75,Two-Year,None,738,No,Yes
19,35,Male,98,49.59,Two-Year,Fiber Optic,4859.82,Yes,No
20,30,Female,2,89.55,Month-to-Month,Fiber Optic,179.1,No,Yes
21,59,Female,6,73.56,One-Year,DSL,441.36,No,Yes
22,42,Female,10,30.48,Month-to-Month,None,304.8,No,Yes
23,45,Male,10,102.4,Month-to-Month,DSL,1024,Yes,Yes
24,30,Male,10,99.55,One-Year,Fiber Optic,995.5,Yes,Yes
25,39,Male,47,79.36,One-Year,DSL,3729.92,Yes,No
26,46,Male,25,35.98,Two-Year,DSL,899.5,Yes,No
27,33,Female,18,98.99,One-Year,Fiber Optic,1781.82,Yes,No
28,48,Male,7,82.53,Month-to-Month,None,577.71,No,Yes
29,38,Female,34,100.38,Two-Year,DSL,3412.92,Yes,Yes
30,42,Male,62,97.66,Two-Year,Fiber Optic,6054.92,Yes,No
31,38,Male,34,102.27,Month-to-Month,DSL,3477.18,No,Yes
32,63,Female,0,76.62,Two-Year,DSL,0,Yes,Yes
33,44,Female,20,42.63,Month-to-Month,Fiber Optic,852.6,Yes,Yes
34,34,Female,1,90.4,Two-Year,Fiber Optic,90.4,Yes,Yes
35,53,Female,5,85.84,Month-to-Month,DSL,429.2,Yes,Yes
36,32,Female,1,96.8,Month-to-Month,Fiber Optic,96.8,No,Yes
37,47,Male,18,45.29,Month-to-Month,DSL,815.22,Yes,Yes
38,25,Female,23,47.55,One-Year,Fiber Optic,1093.65,Yes,No
39,31,Female,2,110.14,Month-to-Month,None,220.28,No,Yes
40,46,Female,9,97.5,Month-to-Month,None,877.5,No,Yes
41,52,Male,12,111.74,One-Year,Fiber Optic,1340.88,Yes,Yes
42,46,Female,9,98.28,Two-Year,Fiber Optic,884.52,Yes,Yes
43,43,Male,2,83.74,Month-to-Month,None,167.48,No,Yes
44,41,Male,10,88.87,Month-to-Month,DSL,888.7,Yes,Yes
45,30,Male,27,110.02,Month-to-Month,None,2970.54,No,Yes
46,37,Male,1,82.09,Month-to-Month,None,82.09,No,Yes
47,40,Female,1,86.92,Two-Year,DSL,86.92,Yes,Yes
48,55,Female,8,44.08,Two-Year,DSL,352.64,No,Yes
49,48,Female,56,72.65,One-Year,None,4068.4,No,Yes
50,27,Male,22,94.48,Month-to-Month,Fiber Optic,2078.56,Yes,Yes
51,48,Male,22,54.38,One-Year,DSL,1196.36,Yes,No
52,41,Male,8,48.2,One-Year,DSL,385.6,No,Yes
53,38,Female,18,58.24,Two-Year,Fiber Optic,1048.32,Yes,No
54,51,Male,0,51.74,One-Year,Fiber Optic,0,No,Yes
55,55,Female,20,49.34,One-Year,None,986.8,No,Yes
56,54,Female,48,68.24,One-Year,None,3275.52,No,Yes
57,36,Male,18,111.71,Month-to-Month,DSL,2010.78,Yes,Yes
58,41,Female,41,75.64,Two-Year,Fiber Optic,3101.24,Yes,No
59,48,Female,25,46.91,One-Year,Fiber Optic,1172.75,No,Yes
60,54,Female,2,36.93,One-Year,Fiber Optic,73.86,No,Yes
61,40,Female,46,92.65,Month-to-Month,DSL,4261.9,Yes,Yes
62,43,Male,1,64.45,One-Year,None,64.45,No,Yes
63,33,Male,15,103.96,One-Year,None,1559.4,No,Yes
64,33,Female,3,89.36,Month-to-Month,Fiber Optic,268.08,Yes,Yes
65,53,Female,0,101.66,Month-to-Month,Fiber Optic,0,Yes,Yes
66,58,Male,10,54.48,One-Year,DSL,544.8,Yes,Yes
67,44,Female,6,92.31,One-Year,Fiber Optic,553.86,Yes,Yes
68,55,Female,13,53.77,One-Year,Fiber Optic,699.01,Yes,No
69,48,Female,17,114.52,Month-to-Month,Fiber Optic,1946.84,Yes,Yes
70,38,Male,0,87.27,One-Year,None,0,No,Yes
71,48,Female,2,59.21,Month-to-Month,Fiber Optic,118.42,Yes,Yes
72,60,Female,16,54.26,Month-to-Month,Fiber Optic,868.16,Yes,Yes
73,44,Male,8,47.18,Month-to-Month,None,377.44,No,Yes
74,60,Male,26,92.52,Month-to-Month,DSL,2405.52,No,Yes
75,18,Female,21,49.68,Month-to-Month,Fiber Optic,1043.28,Yes,Yes
76,53,Male,37,83.58,Month-to-Month,Fiber Optic,3092.46,Yes,Yes
77,45,Female,23,53.82,Month-to-Month,Fiber Optic,1237.86,No,Yes
78,42,Female,11,89.58,Month-to-Month,None,985.38,No,Yes
79,45,Male,22,103.34,One-Year,Fiber Optic,2273.48,Yes,Yes
80,25,Female,6,100.02,Month-to-Month,None,600.12,No,Yes
81,42,Male,7,98.48,Month-to-Month,Fiber Optic,689.36,No,Yes
82,48,Female,31,46.9,Two-Year,Fiber Optic,1453.9,No,Yes
83,59,Male,11,37.95,Month-to-Month,None,417.45,No,Yes
84,39,Female,32,92.91,One-Year,DSL,2973.12,No,Yes
85,36,Male,34,63.15,Month-to-Month,DSL,2147.1,Yes,Yes
86,39,Male,38,68.91,Month-to-Month,Fiber Optic,2618.58,Yes,Yes
87,54,Female,49,32.8,One-Year,DSL,1607.2,Yes,No
88,48,Male,11,53.36,One-Year,DSL,586.96,Yes,Yes
89,39,Female,7,33.03,Two-Year,Fiber Optic,231.21,Yes,Yes
90,50,Male,17,109.13,One-Year,Fiber Optic,1855.21,Yes,Yes
91,45,Female,9,51.91,Two-Year,Fiber Optic,467.19,Yes,Yes
92,54,Male,18,80.16,Month-to-Month,None,1442.88,No,Yes
93,37,Female,24,33.51,Month-to-Month,Fiber Optic,804.24,Yes,Yes
94,41,Male,23,90.02,Month-to-Month,None,2070.46,No,Yes
95,41,Male,9,59.07,Month-to-Month,DSL,531.63,Yes,Yes
96,30,Male,3,110.81,One-Year,Fiber Optic,332.43,Yes,Yes
97,47,Male,11,109.93,One-Year,None,1209.23,No,Yes
98,47,Female,3,59.28,Month-to-Month,Fiber Optic,177.84,Yes,Yes
99,45,Male,44,111.09,Two-Year,None,4887.96,No,Yes
100,42,Female,8,119.65,Two-Year,Fiber Optic,957.2,Yes,Yes
101,30,Male,3,104.29,Month-to-Month,DSL,312.87,Yes,Yes
102,40,Male,0,106.04,Month-to-Month,Fiber Optic,0,Yes,Yes
103,41,Female,20,52.41,Month-to-Month,Fiber Optic,1048.2,Yes,Yes
104,36,Female,20,81.9,Month-to-Month,None,1638,No,Yes
105,43,Male,8,36.05,Month-to-Month,DSL,288.4,Yes,Yes
106,49,Male,1,38.54,One-Year,None,38.54,No,Yes
107,63,Male,10,119.9,Month-to-Month,None,1199,No,Yes
108,46,Female,7,59.4,Month-to-Month,DSL,415.8,No,Yes
109,47,Female,22,97.34,Two-Year,Fiber Optic,2141.48,Yes,No
110,44,Male,18,102.6,One-Year,None,1846.8,No,Yes
111,25,Female,9,107.22,Two-Year,None,964.98,No,Yes
112,44,Female,4,119.79,Month-to-Month,Fiber Optic,479.16,Yes,Yes
113,45,Female,88,51.73,Month-to-Month,Fiber Optic,4552.24,Yes,Yes
114,69,Female,12,33.63,One-Year,Fiber Optic,403.56,No,Yes
115,43,Male,23,67.01,Month-to-Month,Fiber Optic,1541.23,Yes,Yes
116,48,Male,3,41.71,Month-to-Month,DSL,125.13,Yes,Yes
117,44,Male,13,32.02,One-Year,None,416.26,No,Yes
118,33,Male,0,62.44,One-Year,DSL,0,Yes,Yes
119,56,Female,14,100.54,Month-to-Month,DSL,1407.56,Yes,Yes
120,52,Female,66,80.96,Month-to-Month,Fiber Optic,5343.36,Yes,Yes
121,52,Male,9,58.15,Month-to-Month,Fiber Optic,523.35,Yes,Yes
122,35,Male,0,88.89,Month-to-Month,Fiber Optic,0,No,Yes
123,59,Male,0,50.88,Month-to-Month,Fiber Optic,0,No,Yes
124,30,Female,9,31.29,Month-to-Month,Fiber Optic,281.61,Yes,Yes
125,50,Male,3,98.79,Month-to-Month,DSL,296.37,No,Yes
126,66,Female,0,86.14,Two-Year,Fiber Optic,0,Yes,Yes
127,35,Male,28,98.61,One-Year,None,2761.08,No,Yes
128,39,Male,12,33.5,One-Year,Fiber Optic,402,Yes,No
129,45,Female,6,105.34,Month-to-Month,Fiber Optic,632.04,Yes,Yes
130,39,Female,46,85.76,Month-to-Month,Fiber Optic,3944.96,Yes,Yes
131,29,Male,2,80.71,Month-to-Month,None,161.42,No,Yes
132,45,Female,62,86.22,Month-to-Month,DSL,5345.64,No,Yes
133,34,Female,7,107.8,Month-to-Month,Fiber Optic,754.6,Yes,Yes
134,49,Female,43,82.82,One-Year,None,3561.26,No,Yes
135,35,Male,18,82.29,One-Year,Fiber Optic,1481.22,No,Yes
136,60,Female,35,119.16,One-Year,DSL,4170.6,No,Yes
